method,split,difficulty,run,NE,SR,OSR,nDTW,SPL
CMA-VG,Validation-Seen,Hard,5,262.32998938531136,0.09220629214844736,1.5715203216522666,16.592687945330425,0.4373062615476937
LAG-VG,Validation-Seen,Easy,1,119.20717324070395,2.8783664557348194,7.357087046695419,29.9479096534013,2.032784198257483
LAG-VG,Validation-Seen,Easy,2,119.40042340467383,2.690926499532255,7.739682446587591,29.3587868672778,1.7607346446589751
LAG-VG,Validation-Seen,Easy,3,118.59271189207898,2.946093127914765,8.038870313221489,29.890776172798358,1.95354190151585
LAG-VG,Validation-Seen,Easy,4,114.90885457981425,2.6910799144142854,7.918474825138881,29.976298805287556,2.0711616843688163
LAG-VG,Validation-Seen,Easy,5,121.390836882729,2.7935340024038746,7.945885368356621,29.326228501234983,1.6817775711988752
LAG-VG,Validation-Seen,Normal,1,157.6515025986984,1.8529410412911793,5.1105331739572355,20.57344011203671,0.8141810039551208
LAG-VG,Validation-Seen,Normal,2,154.70167179303198,1.3661663887030167,4.561777287838384,19.99584474706932,1.239908690371533
LAG-VG,Validation-Seen,Normal,3,153.8256196269699,1.3280610453555528,4.254853025422944,20.25878141854194,1.2645773930246067
LAG-VG,Validation-Seen,Normal,4,153.6989111650112,1.7338932699388305,4.566326072598229,20.637526782871817,0.9584882427153258
LAG-VG,Validation-Seen,Normal,5,154.6222948162884,1.218938254711421,4.506510440183209,20.534406939480206,0.7228446699334137
LAG-VG,Validation-Seen,Hard,1,204.76798945240748,0.15216625771724546,1.8581081559938304,12.595113866157558,0.2634531681923465
LAG-VG,Validation-Seen,Hard,2,204.29779754745383,0.3879857181221329,2.073606319611188,12.270890791790942,0.3084773751636608
LAG-VG,Validation-Seen,Hard,3,200.5638724967743,0.3193222699788421,1.8502702148409087,13.358643229567074,0.46111387192249254
LAG-VG,Validation-Seen,Hard,4,205.22635495595028,1.1906871750326862,2.011089225383386,12.776056522630565,0.33544735789950014
LAG-VG,Validation-Seen,Hard,5,203.14398554741405,0.4498385791490932,1.7069260841706868,12.49929558985386,0.13150822682200003
VoLN-MLLM,Validation-Seen,Easy,1,91.2784501509727,8.681204091955983,13.5274623340905,54.79027832236338,6.759141051862411
VoLN-MLLM,Validation-Seen,Easy,2,92.83939766179047,8.784288551084385,13.206796539885369,54.593111713165925,6.236374440769392
VoLN-MLLM,Validation-Seen,Easy,3,90.73944277840758,8.837568390690446,13.431062876228804,54.321858246874385,6.417559982766192
VoLN-MLLM,Validation-Seen,Easy,4,93.60243726103285,8.581792836171582,13.510938581085368,55.4176402235269,6.538913343566569
VoLN-MLLM,Validation-Seen,Easy,5,93.54027214779643,8.615146130097601,13.323739668709962,54.877111494069425,6.548011181035435
VoLN-MLLM,Validation-Seen,Normal,1,127.88975044496125,5.225274232991318,10.726760266695674,41.23652801646364,3.9797200578296703
VoLN-MLLM,Validation-Seen,Normal,2,123.91338906424251,5.386728290137896,10.857144185285808,40.45952139375439,3.327537345417579
VoLN-MLLM,Validation-Seen,Normal,3,127.39283666548508,5.420727736230661,10.227362215782806,40.49768689102976,4.02601446502487
VoLN-MLLM,Validation-Seen,Normal,4,128.92808187660665,5.495098042514065,10.82025850296906,41.22111481826886,3.8048329194477897
VoLN-MLLM,Validation-Seen,Normal,5,125.87594194870456,5.472171698126059,10.36847482926665,41.08514888048335,3.8618952122800896
VoLN-MLLM,Validation-Seen,Hard,1,168.80951662200164,2.0729282724391576,3.985900657086254,25.81298720098934,1.7896987096156438
VoLN-MLLM,Validation-Seen,Hard,2,171.9106456747687,2.1765822700223594,4.028901419471727,25.240671987138015,1.521222401713063
VoLN-MLLM,Validation-Seen,Hard,3,170.55295958588653,2.3928914217130806,3.975402674125553,26.23056923393967,0.9080360910418974
VoLN-MLLM,Validation-Seen,Hard,4,174.39911062215074,1.6604960998911684,4.321132377033761,25.17351469690274,1.6461213449478296
VoLN-MLLM,Validation-Seen,Hard,5,171.8277674951924,2.1971019359342345,4.188662872282703,26.042256881030237,1.1349214526815656
Random,Test-Unseen,Easy,1,272.24589191820564,0.30653828659192983,1.36698804912681,30.15346512113248,0.8066115299025345
Random,Test-Unseen,Easy,2,270.5651354981341,0.33173745023972684,1.6764855335514053,30.215619114042717,0.1275259845254611
Random,Test-Unseen,Easy,3,266.42808057554464,0.7853708725769539,1.3043972428767066,29.97803823008109,0.49161895054306465
Random,Test-Unseen,Easy,4,270.4033785052575,0.27975809920792033,1.2123339880941142,30.504470449663252,0.06715238811957494
Random,Test-Unseen,Easy,5,270.8575135028583,0.2965952913834692,1.4397951863509635,29.648407085080454,0.007091146909364687
Random,Test-Unseen,Normal,1,309.0510326258312,0,0.33652607717721994,22.387243564361697,0
Random,Test-Unseen,Normal,2,311.77874144161683,0,0.6011472858492749,23.086412940592123,0
Random,Test-Unseen,Normal,3,308.4122906356083,0,0.4830586757274963,22.529117037204355,0
Random,Test-Unseen,Normal,4,312.2693457267212,0,0.616807517306146,22.462179194908224,0
Random,Test-Unseen,Normal,5,310.48858957022225,0,0.9624604439398626,23.035047262933602,0
Random,Test-Unseen,Hard,1,398.7674472969217,0,0.18043310650788888,15.58936670946213,0
Random,Test-Unseen,Hard,2,393.24641477699794,0,0.10777730423244662,15.340301768449674,0
Random,Test-Unseen,Hard,3,394.674362515117,0,0.2311477404858762,14.538133623996123,0
Random,Test-Unseen,Hard,4,394.4037407707369,0,0.386698011628436,15.113938317864717,0
Random,Test-Unseen,Hard,5,394.90803464022645,0,0.0939438371453524,14.918259580227357,0
Seq2Seq-VG,Test-Unseen,Easy,1,208.12116609495715,0.9932703232743428,5.435245292467817,28.6674004561025,0.6179271965538059
Seq2Seq-VG,Test-Unseen,Easy,2,209.23716260916177,1.2416266593841225,4.572855188943553,29.1084868776554,0.6126678304713511
Seq2Seq-VG,Test-Unseen,Easy,3,210.38294205711546,1.1964544562930617,4.855162044373809,28.820025598104667,0.7693080866184921
Seq2Seq-VG,Test-Unseen,Easy,4,208.12109391860088,0.6234493476203603,4.894163110247718,29.11724657718509,1.1351107927323874
Seq2Seq-VG,Test-Unseen,Easy,5,207.13763532016472,0.9451992134281126,4.2425743639671065,28.786840490952336,0.364986093623963
Seq2Seq-VG,Test-Unseen,Normal,1,252.4296932244223,0.17125202872444767,2.4465335331203666,21.298672230404925,0.00532065331298931
Seq2Seq-VG,Test-Unseen,Normal,2,254.8641648701106,0.29824352801356896,2.3666207608447203,21.938276116259196,0.06644811345285931
Seq2Seq-VG,Test-Unseen,Normal,3,254.21258493247555,1.0898220097240519,2.572285192061831,20.998724684820456,1.0600569724741018
Seq2Seq-VG,Test-Unseen,Normal,4,256.01692718795664,0.42222085208706417,2.772222615521693,21.807563719141157,0.2242086442584593
Seq2Seq-VG,Test-Unseen,Normal,5,256.47662978503496,0.018461581450867404,2.3423378984513876,20.956763249374255,0.14396561650159043
Seq2Seq-VG,Test-Unseen,Hard,1,310.2329099183778,0.035665880247674336,1.1384536853816694,12.9916859022781,0
Seq2Seq-VG,Test-Unseen,Hard,2,312.8680486607392,0.014229748380381935,0.8588560534890349,12.70378511850355,0
Seq2Seq-VG,Test-Unseen,Hard,3,309.67147599123933,0.37137075022423105,0.8782132304486385,13.240453329072173,0
Seq2Seq-VG,Test-Unseen,Hard,4,308.91981551652634,0.025838066222869854,0.9250792240617193,12.807248921070181,0
Seq2Seq-VG,Test-Unseen,Hard,5,307.80774991311716,0.052895554924842846,0.6993978066189381,13.256826729075998,0
CMA-VG,Test-Unseen,Easy,1,172.43420602671912,1.7006569090830712,6.483564192366902,33.155425153882426,0.7398402832667232
CMA-VG,Test-Unseen,Easy,2,176.92146776903024,1.5541285772132951,6.674141744273517,33.39595804557319,1.1844584910662077
CMA-VG,Test-Unseen,Easy,3,176.41703153329044,1.389813694187267,6.044653974306147,33.34064386259366,1.1127021622419009
CMA-VG,Test-Unseen,Easy,4,172.70488286766752,1.7134859735789987,6.707291297978437,33.065495778843065,1.5797329604251105
CMA-VG,Test-Unseen,Easy,5,174.02241180329267,1.6419148459373685,6.590348791074995,33.042477159107676,0.8832661030000584
CMA-VG,Test-Unseen,Normal,1,215.1387390342653,0.4075044730125363,4.275882812991992,26.283390684314586,0.9239433077046347
CMA-VG,Test-Unseen,Normal,2,217.83772985154062,1.182683842751092,3.7991178374223447,26.267071401145422,0.4164360728749713
CMA-VG,Test-Unseen,Normal,3,218.61525412938153,1.0405783956533075,4.401184517609896,26.52458606696557,0.5895521691564619
CMA-VG,Test-Unseen,Normal,4,215.13197233608295,0.8751418561338057,3.72703431283554,26.653399504573873,0.49617254598694144
CMA-VG,Test-Unseen,Normal,5,217.27630464872965,0.49409143244925935,3.296780519140227,26.271552343000543,0.5738959042769906
CMA-VG,Test-Unseen,Hard,1,267.0385322530708,0.24166467155428167,1.6296230294009058,18.303542133435965,0.06707459137798755
CMA-VG,Test-Unseen,Hard,2,263.9421351907751,0.3569569945522192,1.3001174699356666,18.739347178632947,0.08206299398450964
CMA-VG,Test-Unseen,Hard,3,264.1537271093679,0.23721974609955476,2.110587196476859,18.24004432461633,0.30229601797784
CMA-VG,Test-Unseen,Hard,4,267.14417900429464,0.09643408666524633,1.9080969331151696,18.683442744751403,0.03566090133239576
CMA-VG,Test-Unseen,Hard,5,268.2214264424917,0.0677245011286981,1.5515753710713989,18.53362361856335,0.012905495327266994
LAG-VG,Test-Unseen,Easy,1,122.09818987009923,2.315493163914881,6.423631710919808,28.365780507981857,1.7182340361869546
LAG-VG,Test-Unseen,Easy,2,120.97660463262838,2.174858821125333,6.334389868789924,28.60829921314109,1.603985035349347
LAG-VG,Test-Unseen,Easy,3,123.08729946089737,2.530270949269406,6.994315047871729,27.882129336902963,1.0289168932880974
LAG-VG,Test-Unseen,Easy,4,121.00876587859132,2.352930139907388,5.902523283250376,28.144605529397563,1.8489601822716635
LAG-VG,Test-Unseen,Easy,5,124.82914015778371,2.126446925782991,6.345140089168165,27.499185412576537,1.2999038529039377
LAG-VG,Test-Unseen,Normal,1,159.8777539822017,1.5452884102492646,3.8773171506632393,20.452137505914123,0.7403113409688062
LAG-VG,Test-Unseen,Normal,2,159.59663024301727,0.9988035925012275,4.381246093691626,20.508036119538183,0.8481752823736182
LAG-VG,Test-Unseen,Normal,3,158.45935462818466,1.3235220593428694,3.1469333616830504,20.857407976078395,0.5686618352285977
LAG-VG,Test-Unseen,Normal,4,157.1479279362342,1.3655124436114627,3.92429451314517,20.3662932652872,0.7589208224788999
LAG-VG,Test-Unseen,Normal,5,156.41833321036222,0.766873494295176,3.6702088808169133,20.316125133182098,0.5839307189500779
LAG-VG,Test-Unseen,Hard,1,205.46421093666703,0.3839904328828813,2.0592306162625555,14.445972026434092,0.32760718476724937
LAG-VG,Test-Unseen,Hard,2,205.52394874103726,0.25469508778155403,1.7467080904640344,13.739213116469953,0.3640260281837322
LAG-VG,Test-Unseen,Hard,3,205.62241391962644,0.39847939482396244,1.3649913684902522,14.104096632569018,0.1400141171716312
LAG-VG,Test-Unseen,Hard,4,207.81240343078292,0.40342588015676567,1.7265345728605956,13.600139344364857,0.11544588485062411
LAG-VG,Test-Unseen,Hard,5,209.0770229718864,0.5594092043548367,1.6025353519225618,14.11057888016208,0.05290678502676305
VoLN-MLLM,Test-Unseen,Easy,1,95.83130524382935,7.562289174642784,14.562453121844781,52.90848968872815,5.76855307277102
VoLN-MLLM,Test-Unseen,Easy,2,99.34021338524629,7.9212660201090435,14.670940668009969,53.83797017833725,5.848418673544753
VoLN-MLLM,Test-Unseen,Easy,3,96.34121055087546,6.770895556613912,14.490615057488828,52.83451055980698,5.764645633855846
VoLN-MLLM,Test-Unseen,Easy,4,99.3891387019945,7.280116206711737,14.51437718871336,52.646323193746724,5.558460140217012
VoLN-MLLM,Test-Unseen,Easy,5,94.59813211805437,7.465433041922526,14.76161396394307,53.27270637938089,5.5599224796113695
VoLN-MLLM,Test-Unseen,Normal,1,131.43425639908082,4.1110877119520035,9.500631870455155,41.490903404658425,3.018819597441085
VoLN-MLLM,Test-Unseen,Normal,2,133.52701960567794,4.129797318373421,9.982418602483113,41.44883651832277,3.6742409280707107
VoLN-MLLM,Test-Unseen,Normal,3,131.25755074116674,4.9447686071652255,10.084188063191101,40.96614561517786,2.5889984671407693
VoLN-MLLM,Test-Unseen,Normal,4,131.25917166133274,4.820489314305337,10.795949882110632,41.128929526218954,2.983497026755566
VoLN-MLLM,Test-Unseen,Normal,5,129.5220015927418,4.4938570482040125,10.136811581759998,40.965184935622005,3.7344439805918697
VoLN-MLLM,Test-Unseen,Hard,1,175.50941630922335,2.052743897079817,4.343525921155615,28.02893933864508,1.3977612167462594
VoLN-MLLM,Test-Unseen,Hard,2,177.64474315620325,1.9896592913541282,4.421107384731388,27.982832158257903,2.034076249138783
VoLN-MLLM,Test-Unseen,Hard,3,177.19959461703795,1.7001690690999873,4.44390196882827,27.960099116342768,1.4039565403931205
VoLN-MLLM,Test-Unseen,Hard,4,174.1927329281808,1.409970166585234,4.684979605146716,28.229390447366377,0.8031719451456686
VoLN-MLLM,Test-Unseen,Hard,5,179.4535129893547,1.8474575758808331,4.606485120138011,27.79873893938787,0.8610340485761677
